Component#1,Component#2,Smiles#1,Smiles#2,X#1 (molar fraction),"Tmelt, K"
2-hydroxyethyl(trimethyl)azanium;chloride,"(3R,4S,5R)-oxane-2,3,4,5-tetrol",C[N+](C)(C)CCO.[Cl-],OC1OC[C@@H](O)[C@H](O)[C@H]1O,0.799,487.45
2-hydroxyethyl(trimethyl)azanium;chloride,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CCO.[Cl-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.798,486.864
2-(trimethylazaniumyl)acetate,"(2R,3R,4R,5S)-hexane-1,2,3,4,5,6-hexol",C[N+](C)(C)CC(=O)[O-],OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0.698,484.6
2-hydroxyethyl(trimethyl)azanium;chloride,octadecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.746,483.82
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.792,483.78
tetraethylazanium;chloride,hexadecanoic acid,CC[N+](CC)(CC)CC.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.907,483.65
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCO,0.796,483.52
tetrapropylazanium;chloride,decanoic acid,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,0.9,483.45
2-(trimethylazaniumyl)acetate;hydrate,acetic acid,C[N+](C)(C)CC(=O)[O-].O,CC(=O)O,0.752,483.15
2-(trimethylazaniumyl)acetate;hydrate,propanoic acid,C[N+](C)(C)CC(=O)[O-].O,CCC(=O)O,0.751,482.249
2-(trimethylazaniumyl)acetate,"(2S,4R)-pentane-1,2,3,4,5-pentol",C[N+](C)(C)CC(=O)[O-],OC[C@@H](O)C(O)[C@@H](O)CO,0.65,482.18
2-hydroxyethyl(trimethyl)azanium;chloride,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CCO.[Cl-],Cc1ccc(C(C)C)c(O)c1,0.801,482
tetrapropylazanium;chloride,dodecanoic acid,CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCCCC(=O)O,0.908,481.25
2-hydroxyethyl(trimethyl)azanium;chloride,octadecan-1-ol,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.841,480.75
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)(CC(=O)O)C(=O)O,0.849,478.98
ChCl,[N3333]Cl,C[N+](C)(C)CCO.[Cl-],CCC[N+](CCC)(CCC)CCC.[Cl-],0.530578149,478.57
tetramethylazanium;chloride,dodecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCC(=O)O,0.701,478.45
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CO,0.796,477.55
